ccid,Genotype,cond1,cond2,cond3,cond4,cond5,cond6,cond7,cond8,cond9,cond10,cond11,cond12,cond13,cond14
CHS 1001,srh-99(yum1120); srh-100(yum1121),0.940832146812213,0.898176291793313,0.915730337078652,0.753861464968153,0.849056603773585,0.917259838814048,0.890749601275917,-0.725,-0.567857142857143,-0.857142857142857,-0.988636363636364,-0.635632183908046,-1,-0.838028169014085
CHS 1002,srh-105(yum1122); srh-109(yum1123); srh-111(yum1124),0.91304347826087,0.807070707070707,0.916459266633483,0.689443535188216,0.671648550724638,0.804021608643457,0.857777339123569,-0.827485380116959,-0.552525646019997,-0.739388794567063,-0.935139748239812,-0.727907664989642,-1,-0.82137560252132
CHS 1003,srh-105(yum1122); srh-109(yum1123); srh-111(yum1124); srh-102(yum1125); srh-104(yum1126),0.793923313043026,0.751860712387028,0.84377344336084,0.575862068965517,0.617190820229494,0.780071033938437,0.78952239911144,-0.833085469337766,-0.593339075509618,-0.742483660130719,-0.952546296296296,-0.768223783932755,-1,-0.598503036294309
CHS 1004,srh-141(yum1127); srh-142(yum1128); srh-145(yum1129),0.936215450035436,0.938338084679548,0.983606557377049,0.891180726134796,0.701075268817204,0.854010911295211,0.845646625070902,-0.897450440231189,-0.725416182733256,-0.653916973552059,-1,-0.932209377007065,-1,-0.930692276910764
CHS 1005,srh-146(yum1130); srh-147(yum1131); srh-148(yum1132),0.873627592325607,0.652787967718269,0.678976818545164,0.642874337987482,0.869549805033676,0.698690977092099,0.774736842105263,-0.842332322210988,-0.771699309567423,-0.837037037037037,-0.972722722722723,-0.790326866861547,-1,-0.785207450477974
CHS 1006,srh-190(yum1133); srh-192(yum1134); srh-193(yum1135),0.950827773659501,0.847002563880967,0.945205479452055,0.76097371943916,0.792573711766327,0.878319327731092,0.697076491790148,-0.925976001352037,-0.686243386243386,-0.832167832167832,-0.941176470588235,-0.89546783625731,-1,-0.901654259718776
CHS 1007,srh-203(yum1136); srh-204(yum1137); srh-206(yum1138),0.907772324371841,0.894555214723926,0.857771260997067,0.633499126226643,0.610652587288101,0.724800878879429,0.853465277414175,-0.790911691779516,-0.827570020341105,-0.840592861464005,-1,-0.89566772655008,-1,-0.953317099245709
CHS 1008,srh-212(yum1139); srh-213(yum1140); srh-218(yum1141),0.977441039079412,0.879425798949437,0.918103448275862,0.725198938992042,0.796164672765658,0.837111830824919,0.845477605198235,-0.918400652794778,-0.64484126984127,-0.879279279279279,-0.980392156862745,-0.912392606092163,-1,-0.874822190611664
CHS 1009,srh-295(yum1142); srh-296(yum1143); srh-297(yum1144),0.989010989010989,1,0.951598855294264,0.656611847625441,0.80458089668616,0.892620488126106,0.949635730123535,-0.847200821777093,-0.641047659939888,-0.658530285419088,-0.945673549655851,-0.830717299578059,-1,-0.693224510947014
CHS 1010,str-112(yum1145); str-113(yum1146); str-114(yum1147); str-115(yum1148); str-116(yum1149); str-118(yum1150),0.952104499274311,0.860413648800901,0.849206349206349,0.691474759798688,0.701597945498645,0.790352567352872,0.773873873873874,-0.918354430379747,-0.665827696502543,-0.812329514457174,-1,-0.94636999001569,-1,-0.947674418604651
CHS 1011,sri-1(yum1151); sri-2(yum1152); sri-4(yum1153),0.901590300740041,0.723608360836084,0.733068033978725,0.713525835866261,0.945450513711287,0.649519090644127,0.818044515103339,-0.834367245657568,-0.682929724596391,-0.75838599902771,-0.959711286089239,-0.722535211267606,-1,-0.726785714285714
CHS 1012,srbc-61(yum1154); srbc-62(yum1155); srbc-63(yum1156); srbc-65(yum1157),0.831637803836297,0.799075241698193,0.870307464506576,0.715236194278111,0.780303909059274,0.878032005135495,0.715948705179283,-0.830587858986954,-0.629924953095685,-0.747782258064516,-1,-0.929162210338681,-1,-0.958242556281772
CHS 1013,sro-1(yum1158),0.875939561282405,0.735238824676229,0.768188426868276,0.581107333657115,0.63478429848426,0.774042950513539,0.821138211382114,-0.868508335515405,-0.717236467236467,-0.901335818577198,-1,-0.832561728395062,-1,-0.908673894912427
CHS 1014,sru-7(yum1159); sru-44(yum1160); sru-45(yum1161); c45h4.18(yum1162); sru-47(yum1163); sru-48(yum1164),0.739784205693297,0.860562810001012,0.802086044323437,0.714185277088503,0.68937048503612,0.737057530508603,0.872337539004206,-0.898353062274833,-0.735157101794033,-0.85682513205449,-1,-0.860548941798942,-1,-0.967741935483871
CHS 1015,gar-1(yum1165); gar-2(yum1166); gar-3(yum1167),0.919012459621597,0.917357328913095,0.896673327847655,0.85707422531828,0.801302667495473,0.819938491685491,0.907648591049017,-0.587994677443201,-0.702416418404502,-0.542582417582418,-0.95134849286092,-0.886015325670498,-1,-0.92
CHS 1016,gbb-1(yum1168); gbb-2(yum1169),0.807800956106041,0.592695587690026,0.712545854732208,0.698491196739703,0.632767232767233,0.66948051948052,0.818935639555599,-0.747043918918919,-0.682789826806054,-0.741030534351145,-0.971735537190083,-0.92108459699855,-1,-0.875353107344633
CHS 1017,f57a8.4(yum1170); y40c5a.4(yum1171); c47e8.3(yum1172),0.899047619047619,0.777110466293272,0.780808080808081,0.657132891524241,0.773481344434166,0.742632443176908,0.730702215338662,-0.553058053058053,-0.738974370698919,-0.81018981018981,-0.956539074960128,-0.830059338336901,-1,-0.884636413340623
CHS 1018,y37e11al.1(yum1173); f56a11.4(yum1174); b0034.5(yum1175),0.895583832335329,0.780573593073593,0.865432098765432,0.620270555907842,0.799484191046187,0.819347967027878,0.777777777777778,-0.0644742223398369,-0.797852841057869,-0.575690435325324,-0.859408284023669,-0.900267290344136,-1,-0.762460787730917
CHS 1019,h09f14.1(yum1176); f16c3.1(yum1177); c24b5.1(yum1178),0.85316265060241,0.93369358843289,0.904761904761905,0.847786436743492,0.904761904761905,0.910464784716282,0.925798650884562,-0.794189718327649,-0.614831349206349,-0.945306725794531,-0.981443140863431,-0.806472162058861,-1,-0.946169772256729
CHS 1020,r13h7.2(yum1030); k03h6.5(yum1031); k03h6.1(yum1032); t10e10.3(yum1033),0.925893106986289,0.85121571953633,0.835499636061142,0.543717242814706,0.430983472760661,0.666013871889025,0.689455946076071,-0.706287216765911,-0.786998756344325,-0.744239631336406,-0.952380952380952,-0.852524819218042,-1,-0.745133381398702
CHS 1021,f40a3.7(yum1179); f59b2.13(yum1180); w10c4.1(yum1181); d1014.2(yum1182),0.798088210632232,0.916236374067699,0.863003663003663,0.593192195931922,0.724280320906088,0.772744014732965,0.747562296858072,-0.739355944434422,-0.760641343767895,-0.933915301926268,-0.963485789572746,-0.76229456183768,-1,-0.916534181240064
CHS 1022,srg-2(yum1183); srg-5(yum1184); srg-6(yum1185); srg-7(yum1186); srg-8(yum1187); srg-9(yum1188),0.956210553712018,0.8963133640553,0.901577825159915,0.724615384615385,0.870112359550562,0.931492109038737,0.937443609022556,-0.96,-0.700682011935209,-0.808571428571429,-0.932654216185625,-0.941193262917499,-1,-0.908275862068966
CHS 1023,srx-44(yum1189); srx-45(yum1190); srx-46(yum1191); srx-47(yum1192),0.866474820143885,0.821758329987957,0.774438327629817,0.678754578754579,0.646959588988575,0.797979797979798,0.813953488372093,-0.887220670391062,-0.848932676518883,-0.933112216694306,-1,-0.881534211644709,-1,-0.965034965034965
