ccid,genetype
CHS 1015,Metabotropic neurotransmitter receptors
CHS 1275,Metabotropic neurotransmitter receptors
CHS 1016,Metabotropic neurotransmitter receptors
CHS 1256,Metabotropic neurotransmitter receptors
CHS 1086,Metabotropic neurotransmitter receptors
CHS 1087,Metabotropic neurotransmitter receptors
CHS 1088,Metabotropic neurotransmitter receptors
CHS 1090,Metabotropic neurotransmitter receptors
CHS 1103,Adhesion-type GPCR
CHS 1091,Frizzled_Taste2
CHS 1131,Light receptors
CHS 1119,Light receptors
CHS 1017,Neuropeptide receptor
CHS 1018,Neuropeptide receptor
CHS 1019,Neuropeptide receptor
CHS 1020,Neuropeptide receptor
CHS 1021,Neuropeptide receptor
CHS 1024,Neuropeptide receptor
CHS 1025,Neuropeptide receptor
CHS 1026,Neuropeptide receptor
CHS 1040,Neuropeptide receptor
CHS 1041,Neuropeptide receptor
CHS 1057,Neuropeptide receptor
CHS 1058,Neuropeptide receptor
CHS 1061,Neuropeptide receptor
CHS 1062,Neuropeptide receptor
CHS 1063,Neuropeptide receptor
CHS 1064,Neuropeptide receptor
CHS 1065,Neuropeptide receptor
CHS 1069,Neuropeptide receptor
CHS 1072,Neuropeptide receptor
CHS 1076,Neuropeptide receptor
CHS 1079,Neuropeptide receptor
CHS 1080,Neuropeptide receptor
CHS 1082,Neuropeptide receptor
CHS 1083,Neuropeptide receptor
CHS 1084,Neuropeptide receptor
CHS 1085,Neuropeptide receptor
CHS 1089,Neuropeptide receptor
CHS 1109,Neuropeptide receptor
CHS 1120,Neuropeptide receptor
CHS 1121,Neuropeptide receptor
CHS 1125,Neuropeptide receptor
CHS 1126,Neuropeptide receptor
CHS 1127,Neuropeptide receptor
CHS 1142,Neuropeptide receptor
CHS 1144,Neuropeptide receptor
CHS 1157,Neuropeptide receptor
CHS 1160,Neuropeptide receptor
CHS 1167,Neuropeptide receptor
CHS 1178,Neuropeptide receptor
CHS 1194,Neuropeptide receptor
CHS 1212,Neuropeptide receptor
CHS 1207,Neuropeptide receptor
CHS 1148,GPR180
CHS 1001,Chemoreceptor
CHS 1002,Chemoreceptor
CHS 1003,Chemoreceptor
CHS 1004,Chemoreceptor
CHS 1005,Chemoreceptor
CHS 1006,Chemoreceptor
CHS 1007,Chemoreceptor
CHS 1008,Chemoreceptor
CHS 1009,Chemoreceptor
CHS 1010,Chemoreceptor
CHS 1011,Chemoreceptor
CHS 1012,Chemoreceptor
CHS 1013,Chemoreceptor
CHS 1014,Chemoreceptor
CHS 1022,Chemoreceptor
CHS 1023,Chemoreceptor
CHS 1027,Chemoreceptor
CHS 1028,Chemoreceptor
CHS 1029,Chemoreceptor
CHS 1030,Chemoreceptor
CHS 1031,Chemoreceptor
CHS 1032,Chemoreceptor
CHS 1033,Chemoreceptor
CHS 1034,Chemoreceptor
CHS 1035,Chemoreceptor
CHS 1036,Chemoreceptor
