family,wbid
srh-100,WBGene00005319
srh-102,WBGene00005321
srh-104,WBGene00005323
srh-105,WBGene00005512
srh-109,WBGene00005328
srh-10,WBGene00005236
srh-111,WBGene00005330
srh-112,WBGene00005331
srh-113,WBGene00005332
srh-115,WBGene00005334
srh-116,WBGene00005335
srh-118,WBGene00005337
srh-119,WBGene00005338
srh-11,WBGene00005237
srh-120,WBGene00005339
srh-122,WBGene00005340
srh-123,WBGene00005341
srh-125,WBGene00005342
srh-127,WBGene00005344
srh-128,WBGene00005345
srh-129,WBGene00005346
srh-130,WBGene00005347
srh-131,WBGene00005348
srh-132,WBGene00005349
srh-133,WBGene00005350
srh-134,WBGene00005351
srh-135,WBGene00005352
srh-136,WBGene00005353
srh-137,WBGene00005354
srh-138,WBGene00005355
srh-139,WBGene00005356
srh-140,WBGene00005357
srh-141,WBGene00005358
srh-142,WBGene00005359
srh-145,WBGene00005361
srh-146,WBGene00005362
srh-147,WBGene00005363
srh-148,WBGene00005364
srh-149,WBGene00005365
srh-154,WBGene00005370
srh-159,WBGene00005375
srh-15,WBGene00005240
srh-166,WBGene00005382
srh-167,WBGene00005383
srh-169,WBGene00005385
srh-16,WBGene00005241
srh-170,WBGene00005386
srh-171,WBGene00005387
srh-172,WBGene00005388
srh-173,WBGene00005389
srh-174,WBGene00005390
srh-177,WBGene00005392
srh-178,WBGene00005393
srh-179,WBGene00005394
srh-17,WBGene00005242
srh-180,WBGene00005395
srh-181,WBGene00005396
srh-182,WBGene00005397
srh-183,WBGene00005398
srh-184,WBGene00005399
srh-185,WBGene00005400
srh-186,WBGene00005401
srh-187,WBGene00005402
srh-18,WBGene00005243
srh-190,WBGene00005404
srh-192,WBGene00005405
srh-193,WBGene00005406
srh-194,WBGene00005407
srh-195,WBGene00005408
srh-199,WBGene00005410
srh-19,WBGene00005244
srh-1,WBGene00005227
srh-200,WBGene00005411
srh-201,WBGene00005412
srh-203,WBGene00005414
srh-204,WBGene00005415
srh-206,WBGene00005416
srh-207,WBGene00005417
srh-208,WBGene00005418
srh-209,WBGene00005419
srh-20,WBGene00005245
srh-211,WBGene00005421
srh-212,WBGene00005422
srh-213,WBGene00005423
srh-214,WBGene00005424
srh-215,WBGene00005425
srh-216,WBGene00005426
srh-217,WBGene00005427
srh-218,WBGene00005428
srh-219,WBGene00005429
srh-21,WBGene00005246
srh-220,WBGene00005430
srh-222,WBGene00005432
srh-223,WBGene00005433
srh-227,WBGene00005435
srh-228,WBGene00005436
srh-229,WBGene00005437
srh-22,WBGene00005247
srh-231,WBGene00005439
srh-233,WBGene00005440
srh-234,WBGene00005441
srh-235,WBGene00005442
srh-236,WBGene00005443
srh-237,WBGene00005444
srh-239,WBGene00005446
srh-23,WBGene00005248
srh-240,WBGene00005447
srh-241,WBGene00005448
srh-243,WBGene00005449
srh-244,WBGene00005450
srh-245,WBGene00005451
srh-246,WBGene00005452
srh-247,WBGene00005453
srh-248,WBGene00005454
srh-24,WBGene00011192
srh-250,WBGene00005456
srh-251,WBGene00005457
srh-252,WBGene00005458
srh-255,WBGene00005461
srh-257,WBGene00005463
srh-258,WBGene00005464
srh-25,WBGene00005249
srh-264,WBGene00005470
srh-265,WBGene00005471
srh-266,WBGene00005472
srh-268,WBGene00005474
srh-269,WBGene00005475
srh-270,WBGene00005476
srh-271,WBGene00005477
srh-272,WBGene00005478
srh-275,WBGene00005480
srh-276,WBGene00005481
srh-277,WBGene00005482
srh-279,WBGene00005484
srh-27,WBGene00005250
srh-281,WBGene00005486
srh-282,WBGene00005487
srh-283,WBGene00005488
srh-284,WBGene00005489
srh-286,WBGene00005490
srh-287,WBGene00005491
srh-288,WBGene00005492
srh-289,WBGene00005493
srh-28,WBGene00005251
srh-290,WBGene00005494
srh-291,WBGene00005495
srh-292,WBGene00005496
srh-293,WBGene00005497
srh-295,WBGene00005499
srh-296,WBGene00005500
srh-297,WBGene00005501
srh-298,WBGene00005502
srh-299,WBGene00005503
srh-2,WBGene00005228
srh-300,WBGene00005504
srh-301,WBGene00005505
srh-303,WBGene00005507
srh-304,WBGene00005508
srh-305,WBGene00005509
srh-308,WBGene00010261
srh-30,WBGene00005253
srh-31,WBGene00005254
