manual_annot_round,ccid,wbid,manual_annotation,manual_annotnotes
eigh_apr,CHS 1169,WBGene00005091,Edited,Edit
eigh_apr,CHS 1186,WBGene00005146,Edited,Edit
eigh_apr,CHS 1115,WBGene00005169,Edited,Edit
eigh_apr,CHS 1042,WBGene00005313,Edited,Edit
eigh_apr,CHS 1001,WBGene00005319,Edited,Edit
eigh_apr,CHS 1268,WBGene00005319,Edited,Edit
eigh_apr,CHS 1268,WBGene00005321,Edited,Edit
eigh_apr,CHS 1248,WBGene00006281,Edited,Edit
eigh_apr,CHS 1248,WBGene00006284,Edited,Edit
eigh_apr,CHS 1119,WBGene00001805,Inconclusive,Inconclusive
eigh_apr,CHS 1275,WBGene00003232,Inconclusive,Inconclusive
eigh_apr,CHS 1269,WBGene00005066,Inconclusive,Inconclusive
eigh_apr,CHS 1269,WBGene00005067,Inconclusive,Inconclusive
eigh_apr,CHS 1269,WBGene00005068,Inconclusive,Inconclusive
eigh_apr,CHS 1190,WBGene00005080,Inconclusive,Inconclusive
eigh_apr,CHS 1192,WBGene00005178,Inconclusive,Inconclusive
eigh_apr,CHS 1257,WBGene00005185,Inconclusive,Inconclusive
eigh_apr,CHS 1097,WBGene00005193,Inconclusive,Inconclusive
eigh_apr,CHS 1097,WBGene00005194,Inconclusive,Inconclusive
eigh_apr,CHS 1175,WBGene00005203,Inconclusive,Inconclusive
eigh_apr,CHS 1175,WBGene00005207,Inconclusive,Inconclusive
eigh_apr,CHS 1096,WBGene00005211,Inconclusive,Inconclusive
eigh_apr,CHS 1034,WBGene00005216,Inconclusive,Inconclusive
eigh_apr,CHS 1099,WBGene00005281,Inconclusive,Inconclusive
eigh_apr,CHS 1268,WBGene00005328,Inconclusive,Inconclusive
eigh_apr,CHS 1003,WBGene00005330,Inconclusive,Inconclusive
eigh_apr,CHS 1268,WBGene00005332,Inconclusive,Inconclusive
eigh_apr,CHS 1268,WBGene00005335,Inconclusive,Inconclusive
eigh_apr,CHS 1163,WBGene00005345,Inconclusive,Inconclusive
eigh_apr,CHS 1271,WBGene00005370,Inconclusive,Inconclusive
eigh_apr,CHS 1168,WBGene00005470,Inconclusive,Inconclusive
eigh_apr,CHS 1168,WBGene00005471,Inconclusive,Inconclusive
eigh_apr,CHS 1094,WBGene00005490,Inconclusive,Inconclusive
eigh_apr,CHS 1002,WBGene00005512,Inconclusive,Inconclusive
eigh_apr,CHS 1068,WBGene00005532,Inconclusive,Inconclusive
eigh_apr,CHS 1068,WBGene00005533,Inconclusive,Inconclusive
eigh_apr,CHS 1249,WBGene00005545,Inconclusive,Inconclusive
eigh_apr,CHS 1249,WBGene00005546,Inconclusive,Inconclusive
eigh_apr,CHS 1249,WBGene00005549,Inconclusive,Inconclusive
eigh_apr,CHS 1270,WBGene00005566,Inconclusive,Inconclusive
eigh_apr,CHS 1236,WBGene00005578,Inconclusive,Inconclusive
eigh_apr,CHS 1066,WBGene00005591,Inconclusive,Inconclusive
eigh_apr,CHS 1116,WBGene00005653,Inconclusive,Inconclusive
eigh_apr,CHS 1218,WBGene00005687,Inconclusive,Inconclusive
eigh_apr,CHS 1218,WBGene00005688,Inconclusive,Inconclusive
eigh_apr,CHS 1029,WBGene00005693,Inconclusive,Inconclusive
eigh_apr,CHS 1029,WBGene00005694,Inconclusive,Inconclusive
eigh_apr,CHS 1029,WBGene00005698,Inconclusive,Inconclusive
eigh_apr,CHS 1014,WBGene00005711,Inconclusive,Inconclusive
eigh_apr,CHS 1104,WBGene00005721,Inconclusive,Inconclusive
eigh_apr,CHS 1260,WBGene00005762,Inconclusive,Inconclusive
eigh_apr,CHS 1180,WBGene00005770,Inconclusive,Inconclusive
eigh_apr,CHS 1051,WBGene00005801,Inconclusive,Inconclusive
eigh_apr,CHS 1158,WBGene00005820,Inconclusive,Inconclusive
eigh_apr,CHS 1156,WBGene00005832,Inconclusive,Inconclusive
eigh_apr,CHS 1253,WBGene00005848,Inconclusive,Inconclusive
eigh_apr,CHS 1191,WBGene00005883,Inconclusive,Inconclusive
eigh_apr,CHS 1199,WBGene00005890,Inconclusive,Inconclusive
eigh_apr,CHS 1135,WBGene00005894,Inconclusive,Inconclusive
eigh_apr,CHS 1133,WBGene00005929,Inconclusive,Inconclusive
eigh_apr,CHS 1023,WBGene00005937,Inconclusive,Inconclusive
eigh_apr,CHS 1146,WBGene00005945,Inconclusive,Inconclusive
eigh_apr,CHS 1242,WBGene00005947,Inconclusive,Inconclusive
eigh_apr,CHS 1164,WBGene00005967,Inconclusive,Inconclusive
eigh_apr,CHS 1171,WBGene00005975,Inconclusive,Inconclusive
eigh_apr,CHS 1172,WBGene00006084,Inconclusive,Inconclusive
eigh_apr,CHS 1201,WBGene00006111,Inconclusive,Inconclusive
eigh_apr,CHS 1046,WBGene00006120,Inconclusive,Inconclusive
eigh_apr,CHS 1078,WBGene00006135,Inconclusive,Inconclusive
eigh_apr,CHS 1278,WBGene00006135,Inconclusive,Inconclusive
eigh_apr,CHS 1278,WBGene00006137,Inconclusive,Inconclusive
eigh_apr,CHS 1254,WBGene00006171,Inconclusive,Inconclusive
eigh_apr,CHS 1276,WBGene00006180,Inconclusive,Inconclusive
eigh_apr,CHS 1030,WBGene00006196,Inconclusive,Inconclusive
eigh_apr,CHS 1030,WBGene00006198,Inconclusive,Inconclusive
eigh_apr,CHS 1182,WBGene00006234,Inconclusive,Inconclusive
eigh_apr,CHS 1255,WBGene00006256,Inconclusive,Inconclusive
eigh_apr,CHS 1233,WBGene00006263,Inconclusive,Inconclusive
eigh_apr,CHS 1048,WBGene00006266,Inconclusive,Inconclusive
eigh_apr,CHS 1248,WBGene00006287,Inconclusive,Inconclusive
eigh_apr,CHS 1061,WBGene00006576,Inconclusive,Inconclusive
eigh_apr,CHS 1207,WBGene00007395,Inconclusive,Inconclusive
eigh_apr,CHS 1153,WBGene00008248,Inconclusive,Inconclusive
eigh_apr,CHS 1153,WBGene00008249,Inconclusive,Inconclusive
eigh_apr,CHS 1153,WBGene00008250,Inconclusive,Inconclusive
eigh_apr,CHS 1153,WBGene00008251,Inconclusive,Inconclusive
eigh_apr,CHS 1255,WBGene00008321,Inconclusive,Inconclusive
